File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2
Random1_8_3,7796,8,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0981,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_2_3,1249,2,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1001,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_9_3,509,9,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1027,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_4_3,7794,4,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1071,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_3_3,9917,3,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0959,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_7_3,1335,7,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1035,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_5_3,6644,5,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0978,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_0_3,8580,0,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1145,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_1_3,9563,1,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0992,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.3904761904761905,38.46,646.15,
Random1_6_3,4424,6,3,7 states,6 symbols,57,5,8,8,6,84,0,0,1.6325,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.3904761904761905,38.46,646.15,
