File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
TCP_7_37,5209,7,37,14 states,28 symbols,625,89,76,312,243,358530,,,572.4581,28,26,88641,3693929,TIMEOUT,4928.7609,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_1_37,7193,1,37,14 states,28 symbols,625,89,76,312,243,358530,,,586.6852,28,26,88641,3693929,TIMEOUT,4893.8151,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_3_37,8776,3,37,14 states,28 symbols,625,89,76,312,243,358530,,,576.8328,28,26,88641,3693929,TIMEOUT,4934.9282,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_0_37,9654,0,37,14 states,28 symbols,625,89,76,312,243,358530,,,580.2881,28,26,88641,3693929,TIMEOUT,4940.5728,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_8_37,6797,8,37,14 states,28 symbols,625,89,76,312,243,358530,,,581.9475,28,26,88641,3693929,TIMEOUT,4927.7900,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_4_37,5450,4,37,14 states,28 symbols,625,89,76,312,243,358530,,,565.4165,28,26,88641,3693929,TIMEOUT,4932.6435,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_2_37,6887,2,37,14 states,28 symbols,625,89,76,312,243,358530,,,578.6223,28,26,88641,3693929,TIMEOUT,4932.8515,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_6_37,3237,6,37,14 states,28 symbols,625,89,76,312,243,358530,,,569.8207,28,26,88641,3693929,TIMEOUT,4979.0504,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_9_37,250,9,37,14 states,28 symbols,625,89,76,312,243,358530,,,577.3751,28,26,88641,3693929,TIMEOUT,4929.3702,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_5_37,1923,5,37,14 states,28 symbols,625,89,76,312,243,358530,,,570.2187,28,26,88641,3693929,TIMEOUT,4925.8752,,,,,,,,-1,-1,-1,,-1,-1,53.94
