File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
TCP_9_1200,8167,9,1200,14 states,28 symbols,31357,25,0,7498,35983.6757,14,13,126546,4136004,SAT,1311.0338,4800,4800,2866,4672,128,1934,0.96,0.6,0.97,0.7,0.8,0.8,0.8225446428571428,100.0,0.0,,14,13,126546,4136004,SAT,1373.5790,4800,4800,3775,4739,61,1025,0.98,0.79,0.99,0.90,0.90,0.90,0.7776785714285714
TCP_4_1200,3493,4,1200,14 states,28 symbols,31339,18,0,12395,19389.5548,15,14,210690,7495075,SAT,1745.8454,4800,4800,2258,4740,60,2542,0.97,0.47,0.99,0.6,0.7,0.7,0.7885405960945528,100.0,0.0,,28,26,414882,25349833,TIMEOUT,6104.8354,,,,,,,,,,,,,0.7885405960945528
TCP_1_1200,9057,1,1200,14 states,28 symbols,31165,25,0,7719,29638.486,14,13,129640,4242968,SAT,1112.6405,4800,4800,3491,4777,23,1309,0.99,0.73,1.0,0.8,0.9,0.9,0.8381868131868132,100.0,0.0,,14,13,129640,4242968,SAT,1341.0451,4800,4800,3911,4757,43,889,0.99,0.81,0.99,0.90,0.90,0.90,0.8159340659340659
TCP_7_1200,657,7,1200,14 states,28 symbols,31295,18,0,12308,17259.4556,14,13,193886,6461300,SAT,1309.2356,4800,4800,4396,4667,133,404,0.97,0.92,0.97,0.9,0.9,0.9,0.8604395604395605,100.0,0.0,,15,14,209385,7446703,SAT,1774.5248,4800,4800,4214,4700,100,586,0.98,0.88,0.98,0.90,0.90,0.90,0.8285714285714286
TCP_5_1200,2094,5,1200,14 states,28 symbols,31312,25,0,7910,28889.2957,13,12,121433,3717125,SAT,779.9028,4800,4800,3343,4630,170,1457,0.95,0.7,0.96,0.8,0.8,0.8,0.8047619047619048,100.0,0.0,,13,12,121433,3717125,SAT,970.8741,4800,4800,4546,4678,122,254,0.97,0.95,0.97,1.00,1.00,1.00,0.781547619047619
TCP_8_1200,7775,8,1200,14 states,28 symbols,31222,25,0,7556,32507.0554,13,12,116831,3569507,SAT,960.6121,4800,4800,4235,4777,23,565,0.99,0.88,1.0,0.9,0.9,0.9,0.8589285714285715,100.0,0.0,,13,12,116831,3569507,SAT,1063.9640,4800,4800,4040,4662,138,760,0.97,0.84,0.97,0.90,0.90,0.90,0.8357142857142857
TCP_3_1200,6549,3,1200,14 states,28 symbols,31295,25,0,7387,31937.4136,15,14,135570,4713777,SAT,1450.866,4800,4800,2796,4754,46,2004,0.98,0.58,0.99,0.7,0.8,0.8,0.7928571428571428,100.0,0.0,,15,14,135570,4713777,SAT,1682.8864,4800,4800,3988,4746,54,812,0.99,0.83,0.99,0.90,0.90,0.90,0.8142857142857143
TCP_2_1200,7072,2,1200,14 states,28 symbols,31336,18,0,12738,14940.0436,13,12,184197,5728035,SAT,1023.7984,4800,4800,3932,4609,191,868,0.95,0.82,0.96,0.9,0.9,0.9,0.8589285714285715,100.0,0.0,,13,12,184197,5728035,SAT,1133.0331,4800,4800,4369,4714,86,431,0.98,0.91,0.98,0.90,0.90,0.90,0.8589285714285715
TCP_6_1200,7689,6,1200,14 states,28 symbols,31298,18,0,12368,18364.6765,14,13,194726,6490340,SAT,1251.3864,4800,4800,3119,4725,75,1681,0.98,0.65,0.98,0.8,0.8,0.8,0.8266611295681063,100.0,0.0,,14,13,194726,6490340,SAT,1435.3504,4800,4800,3987,4703,97,813,0.98,0.83,0.98,0.90,0.90,0.90,0.7745293466223699
TCP_0_1200,9105,0,1200,14 states,28 symbols,31391,18,0,13161,16862.1111,14,13,205828,6874152,SAT,1362.1492,4800,4800,2052,4719,81,2748,0.96,0.43,0.98,0.6,0.7,0.7,0.7491758241758242,100.0,0.0,,15,14,222180,7920971,SAT,1855.9000,4800,4800,3385,4725,75,1415,0.98,0.71,0.98,0.80,0.80,0.80,0.75
